id,name,information,category,price,is_spicy,is_hot,released_at,created_at,updated_at
1,핫초코,"따뜻하고 달콤한 핫초코",drink,3500,0,2,"2021-02-16 13:19:15","2021-02-16 13:19:15","2021-02-16 13:19:15"
2,슈퍼베리워터주스,"블루베리, 라즈베리 등 7가지 베리의 새콤달콤한 맛을 시원하게 즐길 수 있는 무카페인 음료",drink,4500,0,1,"2021-02-16 13:22:35","2021-02-16 13:22:35","2021-02-16 13:22:35"
3,레몬홍차,"잉글리시 브랙퍼스트 티백차에 레몬셀 가득한 레몬시럽이 들어가 풍부한 비타민C까지 즐길 수 있는 레몬홍차",drink,3500,0,2,"2021-02-16 13:23:21","2021-02-16 13:23:21","2021-02-16 13:23:21"
4,홍차,"잉글리시 브랙퍼스트 티백차의 고급스러운 맛을 저렴한 가격에 즐길 수 있는 맘스터치만의 가성티",drink,3500,0,2,"2021-02-16 13:24:04","2021-02-16 13:24:04","2021-02-16 13:24:04"
5,복숭아망고스무디,"부드럽고 달콤한 복숭아망고 스무디",drink,4000,0,1,"2021-02-16 13:24:51","2021-02-16 13:24:51","2021-02-16 13:24:51"
6,레몬딸기스무디,"상큼하고 달달한 레몬딸기스무디",drink,4000,0,1,"2021-02-16 13:25:32","2021-02-16 13:25:32","2021-02-16 13:25:32"
7,레몬에이드,"레몬 한잔으로 비타민 가득 상큼한 하루!

착즙 방식으로 레몬셀이 살아있어
풍부한 레몬의 맛과 청량감을 느낄 수 있는 레몬 에이드",drink,3000,0,1,"2021-02-16 13:27:11","2021-02-16 13:27:11","2021-02-16 13:27:11"
8,레몬티,"레몬 한잔으로 비타민 가득 상큼한 하루!

착즙 방식으로 레몬셀이 살아있어
풍부한 레몬의 맛과 향을 즐길 수 있는 레몬티",drink,3000,0,2,"2021-02-16 13:27:45","2021-02-16 13:27:45","2021-02-16 13:27:45"
9,허브복숭아티,"캐모마일, 페퍼민트 등 건강한 허브티베이스와 달콤한 복숭아의 싱그러운 만남",drink,3000,0,2,"2021-02-16 13:28:45","2021-02-16 13:28:45","2021-02-16 13:28:45"
10,스트로베리밀크,"달콤상큼한 스트로베리밀크로 시원하고 든든하게!",drink,3500,0,1,"2021-02-16 13:29:54","2021-02-16 13:29:54","2021-02-16 13:29:54"
11,스위트망고,"건강하고 달콤한 스위트망고로 몸도 마음도 리프레시 하세요!",drink,3500,0,1,"2021-02-16 13:31:01","2021-02-16 13:31:01","2021-02-16 13:31:01"
12,딸기스무디,"달콤상큼한 딸기스무디",drink,4000,0,1,"2021-02-16 13:31:56","2021-02-16 13:31:56","2021-02-16 13:31:56"
13,망고스무디,"건강하고 달콤한 망고 스무디",drink,4000,0,1,"2021-02-16 13:32:30","2021-02-16 13:32:30","2021-02-16 13:32:30"
14,카페라떼,"맘스터치만의 스페셜 로스팅원두와 신선한 우유가 만나 부드럽고 감미로운 라떼류",drink,3000,0,2,"2021-02-16 15:28:54","2021-02-16 15:28:54","2021-02-16 15:28:54"
15,콜라,"가슴까지 시원한 콜라 한 잔!",drink,2000,0,1,"2021-02-16 15:31:08","2021-02-16 15:31:08","2021-02-16 15:31:08"
16,오렌지쥬스,"오렌지과즙이 풍부한 상큼한 오렌지 주스",drink,2500,0,1,"2021-02-16 15:31:43","2021-02-16 15:31:43","2021-02-16 15:31:43"
17,청포도에이디,"청포도알맹이가 쏙쏙~ 상큼한 청포도에이드",drink,2500,0,1,"2021-02-16 15:32:12","2021-02-16 15:32:12","2021-02-16 15:32:12"
18,망고에이드,"열대과일 망고퓨레가 가득~ 달콤한 망고에이드",drink,2500,0,1,"2021-02-16 15:32:55","2021-02-16 15:32:55","2021-02-16 15:32:55"
19,복숭아에이드,"복숭아의 달콤함과 청량감을 그대로!",drink,2500,0,1,"2021-02-16 15:33:25","2021-02-16 15:33:25","2021-02-16 15:33:25"
20,아메리카노,"맘스터치만의 스페셜로스팅 원두를 사용해 부드러운 맛과 커피 본연의 풍미를 살린 아메리카노",drink,2500,0,2,"2021-02-16 15:34:35","2021-02-16 15:34:35","2021-02-16 15:34:35"
21,치즈뿌치텐더,"스페셜 치즈 시즈닝이 선사하는 진한 치즈의 풍미에 안심 순살로 만들어 더 부드러운 순살 치킨이 더해진 환상의 맛!",side,2500,1,0,"2021-02-16 15:39:55","2021-02-16 15:39:55","2021-02-16 15:39:55"
22,후라이드텐더,"안심 순살로 만들어 더 부드러운 순살 치킨",side,2000,1,0,"2021-02-16 15:40:31","2021-02-16 15:40:31","2021-02-16 15:40:31"
23,베이컨치즈감자,"포슬포슬한 감자튀김에 고소한 치즈소스와 매콤한 할라피뇨 살사소스,상큼한 랜치소스를 곁들인 사이드 메뉴",side,2500,1,0,"2021-02-16 15:41:25","2021-02-16 15:41:25","2021-02-16 15:41:25"
24,코울슬로,"입맛을 돋우는 양배추의 아삭한 식감과 상큼한 맛의 코울슬로",side,1500,1,0,"2021-02-16 15:42:21","2021-02-16 15:42:21","2021-02-16 15:42:21"
25,바삭크림치즈볼,"달콤한 치즈의 풍미를 바삭하고 쫀득하게 즐기는 치즈볼",side,3500,1,0,"2021-02-16 15:43:34","2021-02-16 15:43:34","2021-02-16 15:43:34"
26,에그랩,"담백한 또띠아에 에그프라이와 신선한 야채로 건강하고 맛있게 즐기는 라이트한 한끼식사",side,2300,1,0,"2021-02-16 15:45:04","2021-02-16 15:45:04","2021-02-16 15:45:04"
27,어니언치즈감자,"치즈감자에 향긋한 어니언치즈 시즈닝을 뿌려먹는 어니언치즈감자",side,2500,1,0,"2021-02-16 15:45:50","2021-02-16 15:45:50","2021-02-16 15:45:50"
28,치즈감자,"케이준 양념감자와 깊고 진한 딥치즈 소스를 함께 즐길 수 있는 치즈감자",side,2500,1,0,"2021-02-16 15:46:18","2021-02-16 15:46:18","2021-02-16 15:46:18"
29,에그불고기버거세트,"불고기 버거에 에그를 더한 영양만점 버거의 세트",burgerSet,5500,1,0,"2021-02-16 15:46:34","2021-02-16 15:46:34","2021-02-16 15:46:34"
30,리얼비프버거세트,"마이스터가 만든 신선한 소고기의 풍미를 그대로 담은 프리미엄 버거의 세트",burgerSet,9500,1,0,"2021-02-16 15:46:35","2021-02-16 15:46:35","2021-02-16 15:46:35"
31,내슈빌핫치킨버거세트,"매콤한 통다리살 패티가 통째로~양파와 양상추가 조화를 이루는 맘스터치 시그니처 버거의 세트의 세트",burgerSet,6100,2,0,"2021-02-16 15:46:36","2021-02-16 15:46:36","2021-02-16 15:46:36"
32,할라피뇨통살버거세트,"통다리살 치킨패티와 매콤하면서 깔끔한 뒷맛이 일품인 할라피뇨 소스가 잘 어우러진 버거의 세트",burgerSet,5900,2,0,"2021-02-16 15:46:37","2021-02-16 15:46:37","2021-02-16 15:46:37"
33,살사리코버거세트,"매콤, 달콤, 새콤 살사소스로 입맛 확 살리~는 통다리살버거의 세트",burgerSet,6300,1,0,"2021-02-16 15:46:38","2021-02-16 15:46:38","2021-02-16 15:46:38"
34,언빌리버블버거세트,"통새우, 에그프라이, 부드러운 통가슴살에 매콤한 스리라차 마요 소스를 더한 환상적인 조합의 대확행버거의 세트",burgerSet,7000,1,0,"2021-02-16 15:46:39","2021-02-16 15:46:39","2021-02-16 15:46:39"
35,인크레더블버거세트,"에그프라이, 프리미엄 더블햄, 통다리살패티에 신선한 양상추가 들어간 크고 확실한 행복을 즐길 수 있는 대확행 버거의 세트",burgerSet,6900,1,0,"2021-02-16 15:46:40","2021-02-16 15:46:40","2021-02-16 15:46:40"
36,치즈베이컨버거세트,"두툼한 통가슴살패티와 바삭하고 스모키한 베이컨칩, 부드러운 화이트치즈소스가 어우러진 환상적인 조합의 프리미엄 버거의 세트",burgerSet,6500,1,0,"2021-02-16 15:46:41","2021-02-16 15:46:41","2021-02-16 15:46:41"
37,딥치즈버거세트,"부드러운 치즈와 한층 더 촉촉해진 닭가슴살로 딥~하게 빠져드는 버거의 세트",burgerSet,5800,1,0,"2021-02-16 15:46:42","2021-02-16 15:46:42","2021-02-16 15:46:42"
38,불싸이버거세트,"불 맛이 살아있는 싸이버거의 진火, 싸이버거를 매운 버전으로 즐길 수 있는 버거의 세트",burgerSet,5900,2,0,"2021-02-16 15:46:43","2021-02-16 15:46:43","2021-02-16 15:46:43"
39,화이트갈릭버거세트,"크림처럼 부드러운 화이트 갈릭 소스에 프리미엄 더블햄과 통가슴살 패티까지 하나에 다 담은 묵직한 버거의 세트",burgerSet,6100,1,0,"2021-02-16 15:46:44","2021-02-16 15:46:44","2021-02-16 15:46:44"
40,디럭스불고기버거세트,"풍미 가득한 불고기 패티 두장에 신선한 양상추와 고소한 치즈를 더한 완벽한 조합의 프리미엄 버거의 세트",burgerSet,6000,1,0,"2021-02-16 15:46:45","2021-02-16 15:46:45","2021-02-16 15:46:45"
41,통새우버거세트,"통새우살의 씹히는 맛과 바삭한 코코넛 가루 표면의 고소하고 바삭한 프리미엄 통새우 버거의 세트",burgerSet,4900,1,0,"2021-02-16 15:46:46","2021-02-16 15:46:46","2021-02-16 15:46:46"
42,불고기버거세트,"영양 만점의 불고기 패티에 고소한 불고기 소스를 가미하여 한층 더 맛있는 영양 버거의 세트",burgerSet,5000,1,0,"2021-02-16 15:46:47","2021-02-16 15:46:47","2021-02-16 15:46:47"
43,할라피뇨너겟,"콕콕 박힌 할라피뇨로
매콤하게 즐기는 할라피뇨 너겟",side,1500,2,0,"2021-02-16 15:47:07","2021-02-16 15:47:07","2021-02-16 15:47:07"
44,김떡만,"바삭한 김말이, 쫄깃한 떡강정과 팝콘만두를
매콤한 소스에 맛있게 버무린 매콤 김떡만

갈릭 소스에 버무려 맵지 않게 즐기는 갈릭 김떡만",side,3000,1,0,"2021-02-16 15:47:59","2021-02-16 15:47:59","2021-02-16 15:47:59"
45,팝콘만두,"한입에 쏘옥~들어가는 팝콘스타일 만두! 고단백 저칼로리의 닭가슴살이 함유된 오리지널 만두",side,2500,1,0,"2021-02-16 15:48:38","2021-02-16 15:48:38","2021-02-16 15:48:38"
46,싸이버거세트,"매콤한 통다리살 패티가 통째로~양파와 양상추가 조화를 이루는 맘스터치 시그니처 버거",burgerSet,5800,1,0,"2021-02-16 15:50:10","2021-02-16 15:50:10","2021-02-16 15:50:10"
47,휠렛버거세트,"보기만 해도 먹음직한 치킨과 상큼한 양상추가 만들어내는 버거",burgerSet,5600,1,0,"2021-02-16 15:50:11","2021-02-16 15:50:11","2021-02-16 15:50:11"
48,햄치즈휠렛버거,"영양가득 푸짐한 햄과 치킨, 상큼한 양상추가 만들어내는 영양 버거",burgerSet,6100,1,0,"2021-02-16 15:50:12","2021-02-16 15:50:12","2021-02-16 15:50:12"
49,팝콘볼,"한입에 쏘옥~들어가는 팝콘모양의 치킨볼! 시원한 음료와 함께 즐기는 대표 간식~",side,2500,1,0,"2021-02-16 15:50:31","2021-02-16 15:50:31","2021-02-16 15:50:31"
50,케이준양념감자,"맘스터치의 베스트 사이드메뉴! 케이준스타일의 바삭한 양념감자",side,1700,1,0,"2021-02-16 15:51:03","2021-02-16 15:51:03","2021-02-16 15:51:03"
51,콘샐러드,"치킨, 버거와 곁들여 먹기 좋은 샐러드! 누구나 좋아하는 스위트콘에 신선한 야채가 어우러진 콘샐러드",side,1200,1,0,"2021-02-16 15:51:56","2021-02-16 15:51:56","2021-02-16 15:51:56"
52,치즈스틱,"고단백 영양만점의 모짜렐라 치즈스틱~",side,1900,1,0,"2021-02-16 15:52:35","2021-02-16 15:52:35","2021-02-16 15:52:35"
53,고구마치즈볼,"한입에 쏙쏙~~

고구마의 달콤함이 영양치즈와의 환상적 만남!",side,2500,1,0,"2021-02-16 15:53:09","2021-02-16 15:53:09","2021-02-16 15:53:09"
54,휠랩,"담백한 또띠아에 양상치, 피클, 토마토와 후라이드텐더가 통째로! 상큼한 너겟소스와 어우러진 다이어트식 한끼식사",side,2500,1,0,"2021-02-16 15:53:45","2021-02-16 15:53:45","2021-02-16 15:53:45"
55,닭강정트리오A,"케이준떡강정S, 간장마늘떡강정S, 후라이드텐더4조각으로 구성된 닭강정세트!",chicken,10900,1,0,"2021-02-16 16:00:07","2021-02-16 16:00:07","2021-02-16 16:00:07"
56,닭강정트리오B,"케이준떡강정S, 치파오떡강정S, 간장마늘떡강정S으로 구성된 닭강정세트!",chicken,10900,1,0,"2021-02-16 16:00:08","2021-02-16 16:00:08","2021-02-16 16:00:08"
57,간장마늘떡강정,"알싸한 마늘과 특제 간장소스로 단짠의 매력과 크리스피한 식감이 조화로운 순살떡강정!",chicken,10900,1,0,"2021-02-16 16:00:09","2021-02-16 16:00:09","2021-02-16 16:00:09"
58,치파오떡강정,"라유에 볶아 은은한 파향,흑임자와 사천식 소스로 즐기는 중화 요리 순살떡강정!",chicken,10900,2,0,"2021-02-16 16:00:10","2021-02-16 16:00:10","2021-02-16 16:00:10"
59,케이준떡강정,"100% 닭다리살과 쫀득한 쌀떡,매콤달콤한 케이준소스의 환상적인 조화!",chicken,10900,1,0,"2021-02-16 16:00:11","2021-02-16 16:00:11","2021-02-16 16:00:11"
60,반반치킨,"취향에 따라 한 번에 2가지 맛을 골라먹는 반반치킨",chicken,16000,1,0,"2021-02-16 16:00:12","2021-02-16 16:00:12","2021-02-16 16:00:12"
61,맘스양념치킨,"국내산 벌꿀이 함유된 매콤달콤 특제양념치킨으로 꿀맛나는 엄마표 맘스양념치킨",chicken,16000,1,0,"2021-02-16 16:00:13","2021-02-16 16:00:13","2021-02-16 16:00:13"
62,후라이드통다리,"후라이드 치킨의 고소함과 바삭바삭함을 통다리로 크게 즐기는 치킨",chicken,4000,1,0,"2021-02-16 16:00:14","2021-02-16 16:00:14","2021-02-16 16:00:14"
63,내슈빌핫통다리,"큼직한 통다리살에 매콤한 특제 핫치킨소스와 씨즈닝을 입힌 치킨(1조각)",chicken,4300,2,0,"2021-02-16 16:00:15","2021-02-16 16:00:15","2021-02-16 16:00:15"
64,간장마늘치킨,"알싸한 마늘과 특제 간장소스로 단짠의 매력과 크리스피한 식감이 조화로운 치킨",chicken,17000,1,0,"2021-02-16 16:00:16","2021-02-16 16:00:16","2021-02-16 16:00:16"
65,치파오치킨,"라유에 볶아 은은한 파향, 흑임자와 사천식 소스로 즐기는 중화 요리 치킨(뼈 있는 치킨 타입)",chicken,17000,2,0,"2021-02-16 16:00:16","2021-02-16 16:00:16","2021-02-16 16:00:16"
66,치즈뿌치텐더,"스페셜 치즈 시즈닝이 선사하는 진한 치즈의 풍미에 안심 순살로 만들어 더 부드러운 순살 치킨이 더해진 환상의 맛!",chicken,17000,1,0,"2021-02-16 16:00:17","2021-02-16 16:00:17","2021-02-16 16:00:17"
67,치즈뿌치,"스페셜 치즈 시즈닝이 선사하는 진한 치즈의 풍미로 환상의 맛을 선사하는 치킨",chicken,17000,1,0,"2021-02-16 16:00:18","2021-02-16 16:00:18","2021-02-16 16:00:18"
68,후라이드치킨,"싸이버거 스타일 케이준 양념레시피로 더 바삭하고 스파이시한 핫크리스피 치킨",chicken,15000,1,0,"2021-02-16 16:00:20","2021-02-16 16:00:20","2021-02-16 16:00:20"
69,후라이드텐더,"안심 순살로 만들어 더 부드러운 순살 치킨",chicken,15000,1,0,"2021-02-16 16:00:20","2021-02-16 16:00:20","2021-02-16 16:00:20"
